fid,x_coord,y_coord,sample_id,sample_name,ipen,match_name,ott_id,rank,wikidataID,unknown
15,2578410.25587514,1182432.59007097,dbgi_000018,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,
15,2578410.25587514,1182432.59007097,dbgi_000101,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,Costus afer Ker-Gawl.,
16,2578410.12560054,1182432.33756963,dbgi_000075,Senna siamea (Lam.) H.S. Irwin et Barneby,Senna siamea (Lam.) H.S. Irwin et Barneby,Senna siamea (Lam.) H.S. Irwin et Barneby,Senna siamea (Lam.) H.S. Irwin et Barneby,Senna siamea (Lam.) H.S. Irwin et Barneby,Senna siamea (Lam.) H.S. Irwin et Barneby,
17,2578409.90428463,1182432.47790404,dbgi_000108,Eucharis grandiflora Planch. et Linden,Eucharis grandiflora Planch. et Linden,Eucharis grandiflora Planch. et Linden,Eucharis grandiflora Planch. et Linden,Eucharis grandiflora Planch. et Linden,Eucharis grandiflora Planch. et Linden,
18,2578409.63487023,1182432.48142498,dbgi_000082,Serenoa repens (W. Bartram) Small,Serenoa repens (W. Bartram) Small,Serenoa repens (W. Bartram) Small,Serenoa repens (W. Bartram) Small,Serenoa repens (W. Bartram) Small,Serenoa repens (W. Bartram) Small,
19,2578408.66158319,1182432.07299652,dbgi_000118,Gynostemma pentaphyllum (Thunb.) Makino s.l.,Gynostemma pentaphyllum (Thunb.) Makino s.l.,Gynostemma pentaphyllum (Thunb.) Makino s.l.,Gynostemma pentaphyllum (Thunb.) Makino s.l.,Gynostemma pentaphyllum (Thunb.) Makino s.l.,Gynostemma pentaphyllum (Thunb.) Makino s.l.,
20,2578409.24857336,1182431.36906101,dbgi_000043,Piper retrofractum Vahl,Piper retrofractum Vahl,Piper retrofractum Vahl,Piper retrofractum Vahl,Piper retrofractum Vahl,Piper retrofractum Vahl,
21,2578409.52622423,1182431.28958848,dbgi_,Villamilla peruviana Hook. f.,Villamilla peruviana Hook. f.,Villamilla peruviana Hook. f.,Villamilla peruviana Hook. f.,Villamilla peruviana Hook. f.,Villamilla peruviana Hook. f.,
22,2578410.1242802,1182431.18647538,dbgi_000055,Rivina humilis var. glabra L.,Rivina humilis var. glabra L.,Rivina humilis var. glabra L.,Rivina humilis var. glabra L.,Rivina humilis var. glabra L.,Rivina humilis var. glabra L.,
23,2578409.81997081,1182430.79917253,dbgi_000052,Erythroxylum coca Lam var. coca,Erythroxylum coca Lam var. coca,Erythroxylum coca Lam var. coca,Erythroxylum coca Lam var. coca,Erythroxylum coca Lam var. coca,Erythroxylum coca Lam var. coca,
24,2578410.40444602,1182430.12315301,dbgi_000107,Caesalpinia spinosa (Molina) Kuntze,Caesalpinia spinosa (Molina) Kuntze,Caesalpinia spinosa (Molina) Kuntze,Caesalpinia spinosa (Molina) Kuntze,Caesalpinia spinosa (Molina) Kuntze,Caesalpinia spinosa (Molina) Kuntze,
25,2578410.67807297,1182429.82337054,dbgi_000053,Indigofera tinctoria L.,Indigofera tinctoria L.,Indigofera tinctoria L.,Indigofera tinctoria L.,Indigofera tinctoria L.,Indigofera tinctoria L.,
26,2578411.37119418,1182429.78715521,dbgi_000011,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,
26,2578411.37119418,1182429.78715521,dbgi_000051,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,Persea americana Mill.,
27,2578410.72032419,1182429.473289,dbgi_000040,Senna alexandrina Mill.,Senna alexandrina Mill.,Senna alexandrina Mill.,Senna alexandrina Mill.,Senna alexandrina Mill.,Senna alexandrina Mill.,
28,2578411.10863302,1182429.39281049,dbgi_000103,Bixa orellana L.,Bixa orellana L.,Bixa orellana L.,Bixa orellana L.,Bixa orellana L.,Bixa orellana L.,
29,2578411.68757534,1182430.14880553,dbgi_000012,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,
29,2578411.68757534,1182430.14880553,dbgi_000098,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,Cyperus esculentus L.,
30,2578412.35353505,1182430.20514049,dbgi_000001,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,
30,2578412.35353505,1182430.20514049,dbgi_000087,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,Saccharum officinarum L.,
31,2578411.79219741,1182430.67392784,dbgi_000017,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,
31,2578411.79219741,1182430.67392784,dbgi_000057,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,Gossypium arboreum L.,
32,2578412.00445949,1182430.92592619,dbgi_000030,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,
32,2578412.00445949,1182430.92592619,dbgi_000106,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,Abroma augustum (L.) L. f.,
33,2578412.40685206,1182431.2015651,dbgi_,Khaya senegalensis (Desr.) A. Juss,Khaya senegalensis (Desr.) A. Juss,Khaya senegalensis (Desr.) A. Juss,Khaya senegalensis (Desr.) A. Juss,Khaya senegalensis (Desr.) A. Juss,Khaya senegalensis (Desr.) A. Juss,
34,2578413.35448657,1182431.09291911,dbgi_000024,Canna indica L.,Canna indica L.,Canna indica L.,Canna indica L.,Canna indica L.,Canna indica L.,
34,2578413.35448657,1182431.09291911,dbgi_000063,Canna indica L.,Canna indica L.,Canna indica L.,Canna indica L.,Canna indica L.,Canna indica L.,
35,2578413.25992432,1182431.57176627,dbgi_000020,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,
35,2578413.25992432,1182431.57176627,dbgi_000097,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,Hibiscus tiliaceus L.,
36,2578414.22868444,1182431.08688322,dbgi_,Cycas circinalis L.,Cycas circinalis L.,Cycas circinalis L.,Cycas circinalis L.,Cycas circinalis L.,Cycas circinalis L.,
